+-----+--------------------------------------------+-------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name              | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for           |
|  50 | biomesoplenty:chaparral                    | Chaparral               |  0.80 | MEDIUM   | 0.40 | false | false   |            | DRY, PLAINS                                                       | stronghold          |
|  51 | biomesoplenty:cherry_blossom_grove         | Cherry Blossom Grove    |  0.55 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, LUSH, MAGICAL, WET                                 |                     |
|  52 | biomesoplenty:cold_desert                  | Cold Desert             |  0.20 | MEDIUM   | 0.00 | false | false   |            | COLD, DRY, SNOWY                                                  |                     |
|  53 | biomesoplenty:coniferous_forest            | Coniferous Forest       |  0.45 | MEDIUM   | 0.50 | false | false   |            | COLD, CONIFEROUS, DENSE, FOREST                                   | stronghold          |
|  54 | biomesoplenty:crag                         | Crag                    |  0.50 | MEDIUM   | 0.50 | false | false   |            | COLD, DRY, HILLS, MAGICAL, MOUNTAIN, WASTELAND                    | stronghold          |
|  55 | biomesoplenty:dead_forest                  | Dead Forest             |  0.30 | MEDIUM   | 0.30 | false | false   |            | COLD, DEAD, DRY, FOREST, SPARSE                                   | stronghold          |
|  56 | biomesoplenty:dead_swamp                   | Dead Swamp              |  0.60 | MEDIUM   | 0.90 | false | false   |            | COLD, DEAD, SPARSE, SPOOKY, SWAMP, WET                            |                     |
|  57 | biomesoplenty:eucalyptus_forest            | Eucalyptus Forest       |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, JUNGLE, LUSH, WET                                  |                     |
|  58 | biomesoplenty:fen                          | Fen                     |  0.40 | MEDIUM   | 0.40 | false | false   |            | COLD, DEAD, DENSE, FOREST, SWAMP, WET                             |                     |
|  59 | biomesoplenty:flower_field                 | Flower Field            |  0.70 | MEDIUM   | 0.70 | false | false   |            | LUSH, PLAINS                                                      |                     |
|  60 | biomesoplenty:grassland                    | Grassland               |  0.60 | MEDIUM   | 0.70 | false | false   |            | HILLS, PLAINS, WET                                                |                     |
|  61 | biomesoplenty:grove                        | Grove                   |  0.60 | MEDIUM   | 0.80 | false | false   |            | FOREST, LUSH, PLAINS, SPARSE, WET                                 | stronghold          |
|  62 | biomesoplenty:highland                     | Highland                |  0.60 | MEDIUM   | 0.80 | false | false   |            | HILLS, MOUNTAIN, WET                                              | stronghold          |
|  63 | biomesoplenty:land_of_lakes                | Land of Lakes           |  0.50 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, SWAMP, WET                                         |                     |
|  64 | biomesoplenty:lavender_fields              | Lavender Fields         |  0.70 | MEDIUM   | 0.70 | false | false   |            | LUSH, MAGICAL, PLAINS                                             |                     |
|  65 | biomesoplenty:lush_desert                  | Lush Desert             |  1.20 | WARM     | 0.40 | false | false   |            | DRY, HOT, LUSH, SANDY, SAVANNA, SPARSE                            |                     |
|  66 | biomesoplenty:lush_swamp                   | Lush Swamp              |  0.70 | MEDIUM   | 1.00 | false | false   |            | DENSE, LUSH, SWAMP, WET                                           |                     |
|  67 | biomesoplenty:mangrove                     | Mangrove                |  0.85 | MEDIUM   | 0.30 | false | false   |            | DENSE, LUSH, SWAMP, WATER, WET                                    |                     |
|  68 | biomesoplenty:maple_woods                  | Maple Woods             |  0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, DENSE, FOREST                                   | stronghold          |
|  69 | biomesoplenty:marsh                        | Marsh                   |  0.60 | MEDIUM   | 0.80 | false | false   |            | LUSH, WET                                                         |                     |
|  70 | biomesoplenty:meadow                       | Meadow                  |  0.40 | MEDIUM   | 0.70 | false | false   |            | COLD, FOREST, LUSH, PLAINS, SPARSE, WET                           |                     |
|  71 | biomesoplenty:moor                         | Moor                    |  0.60 | MEDIUM   | 1.00 | false | false   |            | HILLS, SWAMP, WET                                                 | stronghold          |
|  72 | biomesoplenty:mountain                     | Mountain                |  0.50 | MEDIUM   | 0.10 | false | false   |            | DRY, FOREST, MOUNTAIN, SPARSE                                     | stronghold          |
|  73 | biomesoplenty:mystic_grove                 | Mystic Grove            |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, LUSH, MAGICAL, RARE, WET                           |                     |
|  74 | biomesoplenty:ominous_woods                | Ominous Woods           |  0.60 | MEDIUM   | 0.60 | false | false   |            | DEAD, DENSE, FOREST, MAGICAL, RARE, SPOOKY, WET                   | stronghold          |
|  75 | biomesoplenty:orchard                      | Orchard                 |  0.70 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST, LUSH, PLAINS                                       |                     |
|  76 | biomesoplenty:outback                      | Outback                 |  2.00 | WARM     | 0.05 | false | false   |            | DRY, HOT, SANDY, SAVANNA, SPARSE                                  | stronghold          |
|  77 | biomesoplenty:overgrown_cliffs             | Overgrown Cliffs        |  0.95 | MEDIUM   | 0.75 | false | false   |            | DENSE, HILLS, JUNGLE, LUSH, MOUNTAIN, WET                         | stronghold          |
|  78 | biomesoplenty:prairie                      | Prairie                 |  0.80 | MEDIUM   | 0.30 | false | false   |            | DRY, PLAINS, SPARSE                                               |                     |
|  79 | biomesoplenty:quagmire                     | Quagmire                |  0.60 | MEDIUM   | 0.90 | false | false   |            | DEAD, SWAMP, WASTELAND, WET                                       |                     |
|  80 | biomesoplenty:rainforest                   | Rainforest              |  0.95 | MEDIUM   | 1.20 | false | false   |            | DENSE, FOREST, HILLS, JUNGLE, LUSH, WET                           | stronghold          |
|  81 | biomesoplenty:redwood_forest               | RedwoodForest           |  0.70 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST                                                     | stronghold          |
|  82 | biomesoplenty:sacred_springs               | Sacred Springs          |  0.85 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, JUNGLE, LUSH, MAGICAL, RARE, WET                   |                     |
|  83 | biomesoplenty:seasonal_forest              | Seasonal Forest         |  0.40 | MEDIUM   | 0.80 | false | false   |            | COLD, DENSE, FOREST                                               | stronghold          |
|  84 | biomesoplenty:shield                       | Shield                  |  0.40 | MEDIUM   | 0.80 | false | false   |            | COLD, DENSE, FOREST, WET                                          |                     |
|  85 | biomesoplenty:shrubland                    | Shrubland               |  0.60 | MEDIUM   | 0.05 | false | false   |            | DRY, PLAINS, SPARSE                                               | stronghold          |
|  86 | biomesoplenty:snowy_coniferous_forest      | Snowy Coniferous Forest | -0.25 | COLD     | 0.50 |  true | false   |            | COLD, CONIFEROUS, DENSE, FOREST, SNOWY                            | stronghold          |
|  87 | biomesoplenty:snowy_forest                 | Snowy Forest            | -0.25 | COLD     | 0.50 |  true | false   |            | COLD, FOREST, SNOWY, SPARSE, WET                                  | stronghold          |
|  88 | biomesoplenty:steppe                       | Steppe                  |  0.75 | MEDIUM   | 0.10 | false | false   |            | DRY, PLAINS, SANDY                                                | stronghold          |
|  89 | biomesoplenty:temperate_rainforest         | Temperate Rainforest    |  0.75 | MEDIUM   | 1.20 | false | false   |            | DENSE, FOREST, LUSH, WET                                          | stronghold          |
|  90 | biomesoplenty:tropical_rainforest          | Tropical Rainforest     |  1.00 | WARM     | 1.00 | false | false   |            | DENSE, HOT, JUNGLE, LUSH, WET                                     | stronghold          |
|  91 | biomesoplenty:tundra                       | Tundra                  |  0.20 | MEDIUM   | 0.50 | false | false   |            | COLD, DEAD, SPARSE, WASTELAND, WET                                |                     |
|  92 | biomesoplenty:wasteland                    | Wasteland               |  2.00 | WARM     | 0.00 | false | false   |            | DEAD, DRY, SPARSE, WASTELAND                                      | stronghold          |
|  93 | biomesoplenty:wetland                      | Wetland                 |  0.60 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST, LUSH, SWAMP, WET                                   |                     |
|  94 | biomesoplenty:woodland                     | Woodland                |  0.70 | MEDIUM   | 0.50 | false | false   |            | DENSE, DRY, FOREST                                                |                     |
|  95 | biomesoplenty:xeric_shrubland              | Xeric Shrubland         |  1.75 | WARM     | 0.10 | false | false   |            | DRY, HOT, LUSH, SANDY, SAVANNA, SPARSE                            |                     |
|  96 | biomesoplenty:alps_foothills               | AlpsFoothills           | -0.25 | COLD     | 0.30 |  true | false   |            | COLD, DRY, FOREST, MOUNTAIN, SNOWY, SPARSE                        | stronghold          |
|  97 | biomesoplenty:mountain_foothills           | MountainFoothills       |  0.50 | MEDIUM   | 0.10 | false | false   |            | DRY, FOREST, HILLS, MOUNTAIN, SPARSE                              | stronghold          |
|  98 | biomesoplenty:redwood_forest_edge          | RedwoodForestEdge       |  0.70 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST                                                     | stronghold          |
|  99 | biomesoplenty:pasture                      | Pasture                 |  0.80 | MEDIUM   | 0.30 | false | false   |            | DRY, PLAINS, SPARSE                                               |                     |
| 100 | biomesoplenty:glacier                      | Glacier                 | -0.50 | COLD     | 0.20 | false | false   |            | COLD, SNOWY, WASTELAND                                            | stronghold          |
| 101 | biomesoplenty:oasis                        | Oasis                   |  2.00 | WARM     | 0.50 | false | false   |            | HOT, JUNGLE, LUSH, SANDY, SPARSE, WET                             |                     |
| 102 | biomesoplenty:snowy_tundra                 | SnowyTundra             |  0.00 | COLD     | 0.50 | false | false   |            | COLD, DEAD, SNOWY, SPARSE, WASTELAND, WET                         |                     |
| 103 | biomesoplenty:coral_reef                   | Coral Reef              |  0.50 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                                      |                     |
| 104 | biomesoplenty:kelp_forest                  | Kelp Forest             |  0.50 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                                      |                     |
| 105 | biomesoplenty:origin_island                | Origin Island           |  0.60 | MEDIUM   | 0.60 | false | false   |            | FOREST, RARE, WATER                                               |                     |
| 106 | biomesoplenty:tropical_island              | Tropical Island         |  0.95 | MEDIUM   | 1.00 | false | false   |            | DENSE, JUNGLE, LUSH, WATER, WET                                   |                     |
| 107 | biomesoplenty:volcanic_island              | Volcanic Island         |  1.20 | WARM     | 0.20 | false | false   |            | DEAD, DRY, HOT, MOUNTAIN, WASTELAND, WATER                        | stronghold          |
| 108 | biomesoplenty:flower_island                | Flower Island           |  0.80 | MEDIUM   | 0.80 | false | false   |            | DENSE, LUSH, MAGICAL, PLAINS, WATER                               | stronghold          |
| 109 | biomesoplenty:corrupted_sands              | Corrupted Sands         |  2.00 | WARM     | 0.00 | false | false   |            | DENSE, DRY, HOT, NETHER, SANDY                                    | stronghold          |
| 110 | biomesoplenty:fungi_forest                 | Fungi Forest            |  2.00 | WARM     | 0.00 | false | false   |            | DENSE, HOT, MUSHROOM, NETHER                                      | stronghold          |
| 111 | biomesoplenty:phantasmagoric_inferno       | Phantasmagoric Inferno  |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MAGICAL, NETHER, SPOOKY, WASTELAND                      | stronghold          |
| 112 | biomesoplenty:undergarden                  | Undergarden             |  2.00 | WARM     | 0.00 | false | false   |            | HOT, LUSH, NETHER                                                 | stronghold          |
| 113 | biomesoplenty:visceral_heap                | Visceral Heap           |  2.00 | WARM     | 0.00 | false | false   |            | HOT, NETHER, WET                                                  | stronghold          |
| 114 | randomthings:spectral                      | Spectral                |  0.20 | MEDIUM   | 0.50 | false | false   |            | MAGICAL                                                           | stronghold          |
| 115 | thaumcraft:magical_forest                  | Magical Forest          |  0.80 | MEDIUM   | 0.40 | false | false   | COOL, WARM | FOREST, MAGICAL                                                   | stronghold          |
| 116 | thaumcraft:eerie                           | Eerie                   |  0.80 | MEDIUM   | 0.50 | false | false   |            | MAGICAL, SPOOKY                                                   | stronghold          |
| 117 | thaumcraft:eldritch                        | Outer Lands             |  0.80 | MEDIUM   | 0.20 | false | false   |            | END, MAGICAL, SPOOKY                                              | stronghold          |
| 118 | iceandfire:glacier                         | Glacier                 |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, DEAD, SNOWY, SPARSE, WASTELAND                              | stronghold          |
| 119 | environs:emerald_cliffs                    | Emerald Cliffs          |  0.40 | MEDIUM   | 0.50 | false | false   | COOL       | CONIFEROUS, MOUNTAIN                                              | stronghold          |
| 120 | environs:pine_taiga                        | Pine Taiga              |  0.25 | MEDIUM   | 0.80 | false | false   | COOL       | CONIFEROUS                                                        | stronghold, village |
| 121 | environs:pine_taiga_m                      | Pine Taiga M            |  0.25 | MEDIUM   | 0.80 | false | false   | COOL       | CONIFEROUS                                                        | stronghold, village |
| 122 | environs:end_forest                        | End Forest              |  0.70 | MEDIUM   | 0.50 | false | false   | COOL       | END, FOREST, MAGICAL                                              | stronghold          |
| 123 | environs:floating_end_forest               | End Forest M            |  0.70 | MEDIUM   | 0.50 | false | false   | COOL       | END, FOREST, MAGICAL                                              | stronghold          |
| 124 | environs:silk_wetland                      | Silk Wetland            |  0.50 | MEDIUM   | 0.50 | false | false   | WARM       | MAGICAL, SWAMP                                                    | stronghold          |
| 125 | environs:stone_basin                       | Stone Basin             |  0.50 | MEDIUM   | 0.50 | false | false   | WARM       | PLAINS, WASTELAND                                                 | stronghold, village |
| 126 | environs:stone_hills                       | Stone Hills             |  0.50 | MEDIUM   | 0.50 | false | false   | WARM       | PLAINS, WASTELAND                                                 | stronghold, village |
| 127 | minecraft:void                             | The Void                |  0.50 | MEDIUM   | 0.50 | false | false   |            | VOID                                                              | stronghold          |
| 128 | environs:tall_oak_forest                   | Tall Oak Forest         |  0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST                                                            | stronghold          |
| 129 | minecraft:mutated_plains                   | Sunflower Plains        |  0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, RARE                                                      | stronghold, village |
| 130 | minecraft:mutated_desert                   | Desert M                |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, RARE, SANDY                                             | stronghold, village |
| 131 | minecraft:mutated_extreme_hills            | Extreme Hills M         |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                                            | stronghold          |
| 132 | minecraft:mutated_forest                   | Flower Forest           |  0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST, HILLS, RARE                                               | stronghold          |
| 133 | minecraft:mutated_taiga                    | Taiga M                 |  0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE                          | stronghold, village |
| 134 | minecraft:mutated_swampland                | Swampland M             |  0.80 | MEDIUM   | 0.90 | false | false   |            | HILLS, RARE, SWAMP, WET                                           | village             |
| 135 | environs:tall_oak_forest_m                 | Tall Oak Forest M       |  0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST                                                            | stronghold          |
| 136 | environs:tall_oak_wetland                  | Tall Oak Wetland        |  0.80 | MEDIUM   | 0.90 | false | false   | WARM       | SWAMP                                                             | stronghold          |
| 137 | environs:roofed_swamp                      | Roofed Swamp            |  0.80 | MEDIUM   | 0.90 | false | false   | WARM       | SWAMP                                                             | stronghold          |
| 138 | environs:mushroom_rainforest               | Mushroom Rainforest     |  0.50 | MEDIUM   | 0.50 | false | false   | WARM       | FOREST, LUSH                                                      | stronghold          |
| 139 | environs:overgrown_plains                  | Overgrown Plains        |  0.95 | MEDIUM   | 0.50 | false | false   | WARM       | LUSH, PLAINS                                                      | stronghold, village |
| 140 | minecraft:mutated_ice_flats                | Ice Plains Spikes       |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, HILLS, RARE, SNOWY                                          | stronghold, village |
| 141 | environs:kakadu                            | Kakadu                  |  0.80 | MEDIUM   | 0.80 | false | false   | WARM       | JUNGLE, LUSH, PLAINS                                              | stronghold, village |
| 142 | environs:lush_forest                       | Lush Forest             |  0.95 | MEDIUM   | 0.95 | false | false   | WARM       | DENSE, FOREST, JUNGLE, WET                                        | stronghold          |
| 143 | environs:wasteland_spikes                  | Wasteland Spikes        |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DEAD                                                              | stronghold, village |
| 144 | environs:wasteland_eroded                  | Eroded Wasteland        |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DEAD                                                              | stronghold, village |
| 145 | environs:dry_oak_forest                    | Dry Oak Forest          |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DEAD, FOREST                                                      | stronghold          |
| 146 | environs:dry_oak_forest_m                  | Dry Oak Forest M        |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DEAD, FOREST                                                      | stronghold          |
| 147 | environs:sandstone_ranges                  | Sandstone Ranges        |  0.80 | MEDIUM   | 0.50 | false | false   | DESERT     | DRY, SANDY                                                        | stronghold, village |
| 148 | environs:canyon                            | Canyon                  |  1.00 | WARM     | 0.30 | false | false   | DESERT     | DRY                                                               | stronghold          |
| 149 | minecraft:mutated_jungle                   | Jungle M                |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, MOUNTAIN, RARE, WET                           | stronghold, village |
| 150 | environs:icy_hills                         | Icy Hills               | -0.50 | COLD     | 0.50 |  true | false   | ICY        | COLD, CONIFEROUS                                                  | stronghold, village |
| 151 | minecraft:mutated_jungle_edge              | JungleEdge M            |  0.95 | MEDIUM   | 0.80 | false | false   |            | HILLS, HOT, JUNGLE, RARE, SPARSE                                  | stronghold          |
| 152 | environs:cold_pine_taiga                   | Cold Pine Taiga         | -0.50 | COLD     | 0.40 |  true | false   | ICY        | COLD, CONIFEROUS                                                  | stronghold          |
| 153 | environs:cold_pine_taiga_m                 | Cold Pine Taiga M       | -0.50 | COLD     | 0.40 |  true | false   | ICY        | COLD, CONIFEROUS                                                  | stronghold          |
| 154 | netherex:ruthless_sands                    | Ruthless Sands          |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER, PLAINS, SANDY, SAVANNA                          | stronghold          |
| 155 | minecraft:mutated_birch_forest             | Birch Forest M          |  0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, HILLS, RARE, SUPER_BIRCH_TREES, THEMED_TREES       | stronghold          |
| 156 | minecraft:mutated_birch_forest_hills       | Birch Forest Hills M    |  0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE, SUPER_BIRCH_TREES, THEMED_TREES    | stronghold          |
| 157 | minecraft:mutated_roofed_forest            | Roofed Forest M         |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE, SPOOKY                             | stronghold          |
| 158 | minecraft:mutated_taiga_cold               | Cold Taiga M            | -0.50 | COLD     | 0.40 |  true | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE, SNOWY                   | stronghold, village |
| 159 | netherex:fungi_forest                      | Fungi Forest            |  1.10 | WARM     | 0.00 | false | false   |            | COLD, DRY, HOT, MUSHROOM, NETHER, PLAINS, SAVANNA, WET            | stronghold          |
| 160 | minecraft:mutated_redwood_taiga            | Mega Spruce Taiga       |  0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MEGA_TAIGA_SPRUCE_TREES, RARE, THEMED_TREES        | stronghold          |
| 161 | minecraft:mutated_redwood_taiga_hills      | Redwood Taiga Hills M   |  0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, HILLS, MEGA_TAIGA_SPRUCE_TREES, RARE, THEMED_TREES | stronghold          |
| 162 | minecraft:mutated_extreme_hills_with_trees | Extreme Hills+ M        |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                                            | stronghold          |
