+-----+--------------------------------------------+-------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name              | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for           |
|  50 | biomesoplenty:cherry_blossom_grove         | Cherry Blossom Grove    |  0.55 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, LUSH, MAGICAL, WET                                 |                     |
|  51 | biomesoplenty:cold_desert                  | Cold Desert             |  0.20 | MEDIUM   | 0.00 | false | false   |            | COLD, DRY, SNOWY                                                  |                     |
|  52 | biomesoplenty:coniferous_forest            | Coniferous Forest       |  0.45 | MEDIUM   | 0.50 | false | false   |            | COLD, CONIFEROUS, DENSE, FOREST                                   | stronghold          |
|  53 | biomesoplenty:crag                         | Crag                    |  0.50 | MEDIUM   | 0.50 | false | false   |            | COLD, DRY, HILLS, MAGICAL, MOUNTAIN, WASTELAND                    | stronghold          |
|  54 | biomesoplenty:dead_forest                  | Dead Forest             |  0.30 | MEDIUM   | 0.30 | false | false   |            | COLD, DEAD, DRY, FOREST, SPARSE                                   | stronghold          |
|  55 | biomesoplenty:dead_swamp                   | Dead Swamp              |  0.60 | MEDIUM   | 0.90 | false | false   |            | COLD, DEAD, SPARSE, SPOOKY, SWAMP, WET                            |                     |
|  56 | biomesoplenty:eucalyptus_forest            | Eucalyptus Forest       |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, JUNGLE, LUSH, WET                                  |                     |
|  57 | biomesoplenty:fen                          | Fen                     |  0.40 | MEDIUM   | 0.40 | false | false   |            | COLD, DEAD, DENSE, FOREST, SWAMP, WET                             |                     |
|  58 | biomesoplenty:flower_field                 | Flower Field            |  0.70 | MEDIUM   | 0.70 | false | false   |            | LUSH, PLAINS                                                      |                     |
|  59 | biomesoplenty:grassland                    | Grassland               |  0.60 | MEDIUM   | 0.70 | false | false   |            | HILLS, PLAINS, WET                                                |                     |
|  60 | biomesoplenty:grove                        | Grove                   |  0.60 | MEDIUM   | 0.80 | false | false   |            | FOREST, LUSH, PLAINS, SPARSE, WET                                 | stronghold          |
|  61 | biomesoplenty:highland                     | Highland                |  0.60 | MEDIUM   | 0.80 | false | false   |            | HILLS, MOUNTAIN, WET                                              | stronghold          |
|  62 | biomesoplenty:land_of_lakes                | Land of Lakes           |  0.50 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, SWAMP, WET                                         |                     |
|  63 | biomesoplenty:lavender_fields              | Lavender Fields         |  0.70 | MEDIUM   | 0.70 | false | false   |            | LUSH, MAGICAL, PLAINS                                             |                     |
|  64 | biomesoplenty:lush_desert                  | Lush Desert             |  1.20 | WARM     | 0.40 | false | false   |            | DRY, HOT, LUSH, SANDY, SAVANNA, SPARSE                            |                     |
|  65 | biomesoplenty:lush_swamp                   | Lush Swamp              |  0.70 | MEDIUM   | 1.00 | false | false   |            | DENSE, LUSH, SWAMP, WET                                           |                     |
|  66 | biomesoplenty:mangrove                     | Mangrove                |  0.85 | MEDIUM   | 0.30 | false | false   |            | DENSE, LUSH, SWAMP, WATER, WET                                    |                     |
|  67 | biomesoplenty:maple_woods                  | Maple Woods             |  0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, DENSE, FOREST                                   | stronghold          |
|  68 | biomesoplenty:marsh                        | Marsh                   |  0.60 | MEDIUM   | 0.80 | false | false   |            | LUSH, WET                                                         |                     |
|  69 | biomesoplenty:meadow                       | Meadow                  |  0.40 | MEDIUM   | 0.70 | false | false   |            | COLD, FOREST, LUSH, PLAINS, SPARSE, WET                           |                     |
|  70 | biomesoplenty:moor                         | Moor                    |  0.60 | MEDIUM   | 1.00 | false | false   |            | HILLS, SWAMP, WET                                                 | stronghold          |
|  71 | biomesoplenty:mountain                     | Mountain                |  0.50 | MEDIUM   | 0.10 | false | false   |            | DRY, FOREST, MOUNTAIN, SPARSE                                     | stronghold          |
|  72 | biomesoplenty:mystic_grove                 | Mystic Grove            |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, LUSH, MAGICAL, RARE, WET                           |                     |
|  73 | biomesoplenty:ominous_woods                | Ominous Woods           |  0.60 | MEDIUM   | 0.60 | false | false   |            | DEAD, DENSE, FOREST, MAGICAL, RARE, SPOOKY, WET                   | stronghold          |
|  74 | biomesoplenty:orchard                      | Orchard                 |  0.70 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST, LUSH, PLAINS                                       | village             |
|  75 | biomesoplenty:outback                      | Outback                 |  2.00 | WARM     | 0.05 | false | false   |            | DRY, HOT, SANDY, SAVANNA, SPARSE                                  | stronghold          |
|  76 | biomesoplenty:overgrown_cliffs             | Overgrown Cliffs        |  0.95 | MEDIUM   | 0.75 | false | false   |            | DENSE, HILLS, JUNGLE, LUSH, MOUNTAIN, WET                         | stronghold          |
|  77 | biomesoplenty:prairie                      | Prairie                 |  0.80 | MEDIUM   | 0.30 | false | false   |            | DRY, PLAINS, SPARSE                                               |                     |
|  78 | biomesoplenty:quagmire                     | Quagmire                |  0.60 | MEDIUM   | 0.90 | false | false   |            | DEAD, SWAMP, WASTELAND, WET                                       |                     |
|  79 | biomesoplenty:rainforest                   | Rainforest              |  0.95 | MEDIUM   | 1.20 | false | false   |            | DENSE, FOREST, HILLS, JUNGLE, LUSH, WET                           | stronghold          |
|  80 | biomesoplenty:redwood_forest               | RedwoodForest           |  0.70 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST                                                     | stronghold          |
|  81 | biomesoplenty:sacred_springs               | Sacred Springs          |  0.85 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, JUNGLE, LUSH, MAGICAL, RARE, WET                   |                     |
|  82 | biomesoplenty:seasonal_forest              | Seasonal Forest         |  0.40 | MEDIUM   | 0.80 | false | false   |            | COLD, DENSE, FOREST                                               | stronghold          |
|  83 | biomesoplenty:shield                       | Shield                  |  0.40 | MEDIUM   | 0.80 | false | false   |            | COLD, DENSE, FOREST, WET                                          |                     |
|  84 | biomesoplenty:shrubland                    | Shrubland               |  0.60 | MEDIUM   | 0.05 | false | false   |            | DRY, PLAINS, SPARSE                                               | stronghold          |
|  85 | biomesoplenty:snowy_coniferous_forest      | Snowy Coniferous Forest | -0.25 | COLD     | 0.50 |  true | false   |            | COLD, CONIFEROUS, DENSE, FOREST, SNOWY                            | stronghold          |
|  86 | biomesoplenty:snowy_forest                 | Snowy Forest            | -0.25 | COLD     | 0.50 |  true | false   |            | COLD, FOREST, SNOWY, SPARSE, WET                                  | stronghold          |
|  87 | biomesoplenty:steppe                       | Steppe                  |  0.75 | MEDIUM   | 0.10 | false | false   |            | DRY, PLAINS, SANDY                                                | stronghold          |
|  88 | biomesoplenty:temperate_rainforest         | Temperate Rainforest    |  0.75 | MEDIUM   | 1.20 | false | false   |            | DENSE, FOREST, LUSH, WET                                          | stronghold          |
|  89 | biomesoplenty:tropical_rainforest          | Tropical Rainforest     |  1.00 | WARM     | 1.00 | false | false   |            | DENSE, HOT, JUNGLE, LUSH, WET                                     | stronghold          |
|  90 | biomesoplenty:tundra                       | Tundra                  |  0.20 | MEDIUM   | 0.50 | false | false   |            | COLD, DEAD, SPARSE, WASTELAND, WET                                |                     |
|  91 | biomesoplenty:wasteland                    | Wasteland               |  2.00 | WARM     | 0.00 | false | false   |            | DEAD, DRY, SPARSE, WASTELAND                                      | stronghold          |
|  92 | biomesoplenty:wetland                      | Wetland                 |  0.60 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST, LUSH, SWAMP, WET                                   |                     |
|  93 | biomesoplenty:woodland                     | Woodland                |  0.70 | MEDIUM   | 0.50 | false | false   |            | DENSE, DRY, FOREST                                                |                     |
|  94 | biomesoplenty:xeric_shrubland              | Xeric Shrubland         |  1.75 | WARM     | 0.10 | false | false   |            | DRY, HOT, LUSH, SANDY, SAVANNA, SPARSE                            |                     |
|  95 | biomesoplenty:alps_foothills               | AlpsFoothills           | -0.25 | COLD     | 0.30 |  true | false   |            | COLD, DRY, FOREST, MOUNTAIN, SNOWY, SPARSE                        | stronghold          |
|  96 | biomesoplenty:mountain_foothills           | MountainFoothills       |  0.50 | MEDIUM   | 0.10 | false | false   |            | DRY, FOREST, HILLS, MOUNTAIN, SPARSE                              | stronghold          |
|  97 | biomesoplenty:redwood_forest_edge          | RedwoodForestEdge       |  0.70 | MEDIUM   | 0.70 | false | false   |            | DENSE, FOREST                                                     | stronghold          |
|  98 | biomesoplenty:pasture                      | Pasture                 |  0.80 | MEDIUM   | 0.30 | false | false   |            | DRY, PLAINS, SPARSE                                               |                     |
|  99 | biomesoplenty:glacier                      | Glacier                 | -0.50 | COLD     | 0.20 | false | false   |            | COLD, SNOWY, WASTELAND                                            | stronghold          |
| 100 | biomesoplenty:oasis                        | Oasis                   |  2.00 | WARM     | 0.50 | false | false   |            | HOT, JUNGLE, LUSH, SANDY, SPARSE, WET                             |                     |
| 101 | biomesoplenty:snowy_tundra                 | SnowyTundra             |  0.00 | COLD     | 0.50 | false | false   |            | COLD, DEAD, SNOWY, SPARSE, WASTELAND, WET                         |                     |
| 102 | biomesoplenty:coral_reef                   | Coral Reef              |  0.50 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                                      |                     |
| 103 | biomesoplenty:kelp_forest                  | Kelp Forest             |  0.50 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                                      |                     |
| 104 | biomesoplenty:origin_island                | Origin Island           |  0.60 | MEDIUM   | 0.60 | false | false   |            | FOREST, RARE, WATER                                               |                     |
| 105 | biomesoplenty:tropical_island              | Tropical Island         |  0.95 | MEDIUM   | 1.00 | false | false   |            | DENSE, JUNGLE, LUSH, WATER, WET                                   |                     |
| 106 | biomesoplenty:volcanic_island              | Volcanic Island         |  1.20 | WARM     | 0.20 | false | false   |            | DEAD, DRY, HOT, MOUNTAIN, WASTELAND, WATER                        | stronghold          |
| 107 | biomesoplenty:flower_island                | Flower Island           |  0.80 | MEDIUM   | 0.80 | false | false   |            | DENSE, LUSH, MAGICAL, PLAINS, WATER                               | stronghold          |
| 108 | biomesoplenty:corrupted_sands              | Corrupted Sands         |  2.00 | WARM     | 0.00 | false | false   |            | DENSE, DRY, HOT, NETHER, SANDY                                    | stronghold          |
| 109 | biomesoplenty:fungi_forest                 | Fungi Forest            |  2.00 | WARM     | 0.00 | false | false   |            | DENSE, HOT, MUSHROOM, NETHER                                      | stronghold          |
| 110 | biomesoplenty:phantasmagoric_inferno       | Phantasmagoric Inferno  |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MAGICAL, NETHER, SPOOKY, WASTELAND                      | stronghold          |
| 111 | biomesoplenty:undergarden                  | Undergarden             |  2.00 | WARM     | 0.00 | false | false   |            | HOT, LUSH, NETHER                                                 | stronghold          |
| 112 | biomesoplenty:visceral_heap                | Visceral Heap           |  2.00 | WARM     | 0.00 | false | false   |            | HOT, NETHER, WET                                                  | stronghold          |
| 113 | randomthings:spectral                      | Spectral                |  0.20 | MEDIUM   | 0.50 | false | false   |            | MAGICAL                                                           | stronghold          |
| 114 | iceandfire:glacier                         | Glacier                 |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, DEAD, SNOWY, SPARSE, WASTELAND                              | stronghold          |
| 115 | environs:emerald_cliffs                    | Emerald Cliffs          |  0.40 | MEDIUM   | 0.50 | false | false   | COOL       | CONIFEROUS, MOUNTAIN                                              | stronghold          |
| 116 | environs:pine_taiga                        | Pine Taiga              |  0.25 | MEDIUM   | 0.80 | false | false   | COOL       | CONIFEROUS                                                        | stronghold, village |
| 117 | environs:pine_taiga_m                      | Pine Taiga M            |  0.25 | MEDIUM   | 0.80 | false | false   | COOL       | CONIFEROUS                                                        | stronghold, village |
| 118 | environs:end_forest                        | End Forest              |  0.70 | MEDIUM   | 0.50 | false | false   | COOL       | END, FOREST, MAGICAL                                              | stronghold          |
| 119 | environs:floating_end_forest               | End Forest M            |  0.70 | MEDIUM   | 0.50 | false | false   | COOL       | END, FOREST, MAGICAL                                              | stronghold          |
| 120 | environs:silk_wetland                      | Silk Wetland            |  0.50 | MEDIUM   | 0.50 | false | false   | WARM       | MAGICAL, SWAMP                                                    | stronghold          |
| 121 | environs:stone_basin                       | Stone Basin             |  0.50 | MEDIUM   | 0.50 | false | false   | WARM       | PLAINS, WASTELAND                                                 | stronghold, village |
| 122 | environs:stone_hills                       | Stone Hills             |  0.50 | MEDIUM   | 0.50 | false | false   | WARM       | PLAINS, WASTELAND                                                 | stronghold, village |
| 123 | environs:tall_oak_forest                   | Tall Oak Forest         |  0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST                                                            | stronghold          |
| 124 | environs:tall_oak_forest_m                 | Tall Oak Forest M       |  0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST                                                            | stronghold          |
| 125 | environs:tall_oak_wetland                  | Tall Oak Wetland        |  0.80 | MEDIUM   | 0.90 | false | false   | WARM       | SWAMP                                                             | stronghold          |
| 126 | environs:roofed_swamp                      | Roofed Swamp            |  0.80 | MEDIUM   | 0.90 | false | false   | WARM       | SWAMP                                                             | stronghold          |
| 127 | minecraft:void                             | The Void                |  0.50 | MEDIUM   | 0.50 | false | false   |            | VOID                                                              | stronghold          |
| 128 | environs:mushroom_rainforest               | Mushroom Rainforest     |  0.50 | MEDIUM   | 0.50 | false | false   | WARM       | FOREST, LUSH                                                      | stronghold          |
| 129 | minecraft:mutated_plains                   | Sunflower Plains        |  0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, RARE                                                      | stronghold, village |
| 130 | minecraft:mutated_desert                   | Desert M                |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, RARE, SANDY                                             | stronghold, village |
| 131 | minecraft:mutated_extreme_hills            | Extreme Hills M         |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                                            | stronghold          |
| 132 | minecraft:mutated_forest                   | Flower Forest           |  0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST, HILLS, RARE                                               | stronghold          |
| 133 | minecraft:mutated_taiga                    | Taiga M                 |  0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE                          | stronghold, village |
| 134 | minecraft:mutated_swampland                | Swampland M             |  0.80 | MEDIUM   | 0.90 | false | false   |            | HILLS, RARE, SWAMP, WET                                           | village             |
| 135 | environs:overgrown_plains                  | Overgrown Plains        |  0.95 | MEDIUM   | 0.50 | false | false   | WARM       | LUSH, PLAINS                                                      | stronghold, village |
| 136 | environs:kakadu                            | Kakadu                  |  0.80 | MEDIUM   | 0.80 | false | false   | WARM       | JUNGLE, LUSH, PLAINS                                              | stronghold, village |
| 137 | environs:lush_forest                       | Lush Forest             |  0.95 | MEDIUM   | 0.95 | false | false   | WARM       | DENSE, FOREST, JUNGLE, WET                                        | stronghold          |
| 138 | environs:wasteland_spikes                  | Wasteland Spikes        |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DEAD                                                              | stronghold, village |
| 139 | environs:wasteland_eroded                  | Eroded Wasteland        |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DEAD                                                              | stronghold, village |
| 140 | minecraft:mutated_ice_flats                | Ice Plains Spikes       |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, HILLS, RARE, SNOWY                                          | stronghold, village |
| 141 | environs:dry_oak_forest                    | Dry Oak Forest          |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DEAD, FOREST                                                      | stronghold          |
| 142 | environs:dry_oak_forest_m                  | Dry Oak Forest M        |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DEAD, FOREST                                                      | stronghold          |
| 143 | environs:sandstone_ranges                  | Sandstone Ranges        |  0.80 | MEDIUM   | 0.50 | false | false   | DESERT     | DRY, SANDY                                                        | stronghold, village |
| 144 | environs:canyon                            | Canyon                  |  1.00 | WARM     | 0.30 | false | false   | DESERT     | DRY                                                               | stronghold          |
| 145 | environs:icy_hills                         | Icy Hills               | -0.50 | COLD     | 0.50 |  true | false   | ICY        | COLD, CONIFEROUS                                                  | stronghold, village |
| 146 | environs:cold_pine_taiga                   | Cold Pine Taiga         | -0.50 | COLD     | 0.40 |  true | false   | ICY        | COLD, CONIFEROUS                                                  | stronghold          |
| 147 | environs:cold_pine_taiga_m                 | Cold Pine Taiga M       | -0.50 | COLD     | 0.40 |  true | false   | ICY        | COLD, CONIFEROUS                                                  | stronghold          |
| 148 | erebus:underground_jungle                  | Underground Jungle      |  0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, HOT, JUNGLE, LUSH                                          | stronghold          |
| 149 | minecraft:mutated_jungle                   | Jungle M                |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, MOUNTAIN, RARE, WET                           | stronghold, village |
| 150 | erebus:volcanic_desert                     | Volcanic Desert         |  0.50 | MEDIUM   | 0.50 | false | false   |            | DRY, HOT, SANDY                                                   | stronghold          |
| 151 | minecraft:mutated_jungle_edge              | JungleEdge M            |  0.95 | MEDIUM   | 0.80 | false | false   |            | HILLS, HOT, JUNGLE, RARE, SPARSE                                  | stronghold          |
| 152 | erebus:subterranean_savannah               | Subterranean Savannah   |  0.50 | MEDIUM   | 0.50 | false | false   |            | SAVANNA                                                           | stronghold          |
| 153 | erebus:elysian_fields                      | Elysian Fields          |  0.50 | MEDIUM   | 0.50 | false | false   |            | LUSH, PLAINS                                                      | stronghold          |
| 154 | erebus:ulterior_outback                    | Ulterior Outback        |  0.50 | MEDIUM   | 0.50 | false | false   |            | DRY, HOT, SANDY                                                   | stronghold          |
| 155 | minecraft:mutated_birch_forest             | Birch Forest M          |  0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, HILLS, RARE, SUPER_BIRCH_TREES, THEMED_TREES       | stronghold          |
| 156 | minecraft:mutated_birch_forest_hills       | Birch Forest Hills M    |  0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE, SUPER_BIRCH_TREES, THEMED_TREES    | stronghold          |
| 157 | minecraft:mutated_roofed_forest            | Roofed Forest M         |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE, SPOOKY                             | stronghold          |
| 158 | minecraft:mutated_taiga_cold               | Cold Taiga M            | -0.50 | COLD     | 0.40 |  true | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE, SNOWY                   | stronghold, village |
| 159 | erebus:fungal_forest                       | Fungal Forest           |  0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, MUSHROOM, SPOOKY                                           | stronghold          |
| 160 | minecraft:mutated_redwood_taiga            | Mega Spruce Taiga       |  0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MEGA_TAIGA_SPRUCE_TREES, RARE, THEMED_TREES        | stronghold          |
| 161 | minecraft:mutated_redwood_taiga_hills      | Redwood Taiga Hills M   |  0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, HILLS, MEGA_TAIGA_SPRUCE_TREES, RARE, THEMED_TREES | stronghold          |
| 162 | minecraft:mutated_extreme_hills_with_trees | Extreme Hills+ M        |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                                            | stronghold          |
